airport_code,sequence_number
CAC,416998
EAA,783002
DCA,218737
ABE,876603
DBD,778472
ECA,359835
DEB,175757
ACB,347404
DBD,368102
BDD,586880
AAE,893532
EDB,472035
DEB,984125
CDE,951527
BEC,183790
CDA,781696
DAE,34545
BAD,707839
EDC,67106
ADA,192676
DBE,697490
ACE,334962
ADC,855725
EBD,891591
EBE,598054
CBE,414300
ECE,122310
ACC,523109
CEC,545361
ABE,86465
DAE,840998
AAB,957414
EDA,251290
CBC,270897
CDB,972953
BBC,682623
EAD,577700
ADC,663837
DEE,566153
CEA,109227
CBB,759762
DCA,315989
ECA,584527
CAE,334580
DDC,866128
AEB,186967
DAD,697998
BEE,287185
CBB,146850
EDB,623399
DED,245882
DEB,332288
CCE,167413
EAE,126183
DBB,561588
ECD,946707
ACA,841802
EAD,931307
ADC,693931
BAB,96347
CAB,700680
BDB,390934
ABB,841662
EDE,621784
CDA,879207
ABD,555780
BBE,508845
ECD,127745
DBC,215139
ABA,415550
DAA,557999
EDD,7131
BCE,312375
BDC,852034
DEB,828258
EDA,43407
BEC,339699
EEE,268791
EAA,602950
ECC,423075
DED,723194
EED,972339
AEA,369044
ADA,149876
ADE,926432
EDD,210719
ADB,35066
ECD,453059
CEE,335962
BDD,653836
ADA,769356
BDB,889019
BDC,350039
ECB,38399
DEC,759966
BEC,473922
AEB,706625
AEE,46831
ABE,538627
AAC,441014
DDB,670668
ABD,328337
BAC,449764
ABE,173687
ACD,572693
EDB,768603
CDD,434467
EAA,77425
CEA,49837
CDD,609268
AAA,430075
CDD,544296
ACB,909463
CEA,708937
CDE,624181
ECD,627107
AAB,440620
EEB,519466
DDB,874433
ECB,242263
ECE,292194
EBA,892874
CEB,900306
ABD,102934
CEC,632961
BCC,25905
DCD,242507
DCC,159962
EED,746796
AAB,752292
DBB,297218
CDD,787059
BCB,291590
DBD,528296
BBB,919629
CAC,144844
ADD,787427
DAB,927983
EAE,828712
CEC,701949
ACD,813677
BAD,606834
EAC,177697
CCC,597966
DCB,407362
BDD,399776
DCA,816659
AED,418137
CCD,145651
CCA,226621
CDE,366465
ABB,284802
EED,379518
CBE,894155
ECB,522288
CCC,546144
DAB,396699
CAC,290239
EED,99348
CAE,117021
BEB,387096
DBC,422070
BAA,453993
DAE,775317
EAC,864563
CAD,985963
DEC,663696
CBC,223181
CBA,430418
CAC,504105
ADE,726197
ABE,51722
ECC,197034
AEA,817862
DCE,877141
DEB,71736
BAD,639258
BBA,758244
ABA,400730
AEE,626732
ACD,414433
EDD,495242
DEC,893293
BDE,858299
CDC,889054
CBD,732403
CAA,805105
CBB,774783
AEE,782241
BAD,4471
DEE,39675
ADE,860750
AEE,875520
ECA,399280
DDE,376146
ECD,596744
ACE,89765
AEE,998441
CCD,46512
ABC,191609
ECD,353389
AEA,770772
CDE,213765
AEA,886472
EDE,564556
AAD,244423
ACD,709290
EBE,132075
ACD,881303
CEA,628986
AAA,422439
CCC,499084
AEA,856919
CEE,691782
DBD,318494
CEB,613895
BEB,504815
CAD,555032
AAC,429836
ACE,59844
ADC,278741
DDA,268742
BAE,240115
BBE,345707
EEA,537492
EAC,677668
ACC,764750
CBD,316193
CCA,298078
ACB,290985
DCA,944097
DCB,202319
EDB,999433
CCD,524107
BBC,266399
BBC,33408
AAE,68760
ADD,283193
ECD,94914
ADC,217084
ACD,593071
CBD,962008
EAA,830696
BEB,861605
BBC,935028
CEB,483370
ABC,552738
EEA,101681
DEB,567305
AAA,394213
ADA,567603
DEE,776738
DBC,131628
EEE,783382
CDE,175890
DCB,340322
BAE,56604
DAB,488140
BEE,568314
DBB,825502
BCA,722570
CBB,179831
CAD,294374
DED,16630
ABB,526540
DBA,302105
DED,460729
DCB,357529
BAD,397817
CEB,241819
DED,540266
DAE,498831
DEE,872779
EDC,570683
ABD,398293
EEC,772847
BAB,151620
DBB,992846
EAC,946889
ABB,626956
EBD,757760
AEA,541377
CDB,545772
ECD,183656
EEA,284347
DEE,510780
BAC,926994
DBE,643184
AEA,607702
EAC,925290
EBC,1511
BEC,294707
EED,622103
EDA,519956
CED,780668
BED,140073
CAB,658933
CAA,903174
DBC,724367
DBC,135398
DED,774736
DCC,240664
CBB,923736
DCC,400510
DAE,644164
CBB,900758
DEA,999749
AAD,125807
BEA,198739
BCB,624847
DAC,46420
BAA,598877
EEE,300295
DDE,577945
DEB,544182
AEE,663888
CEE,330154
CBC,492639
CBD,689079
CDB,652943
DAA,784559
ECB,349505
ABA,393109
ADB,977595
CDD,980035
ACA,672964
AEA,852664
DAB,73783
DDD,118098
EBC,94053
CDB,247228
EDD,402547
BED,775429
EAC,688346
AAB,246867
CBC,50333
AAE,252950
BDD,260870
BBC,607356
ACB,466807
CCC,946920
DED,73306
AAA,754744
DBB,954501
BEA,111823
EDC,950828
CED,881113
ACE,39876
CCB,487245
DDC,76066
BAD,959873
BDC,719707
CEA,376360
CBC,87214
CAE,354799
BAC,84523
AAC,210958
EDC,652651
DAA,934379
CAB,235152
EDE,25121
CAC,215493
BAA,968786
DCB,863089
BCD,347977
ABA,917103
DDE,337166
BEC,414713
BAD,646878
CCC,167683
BBB,339059
ACE,269098
CDE,977456
BAE,344526
ECE,745279
DAB,815579
DDB,631329
BBE,342477
CCA,860875
CBD,633640
BAE,542525
CDC,984209
DBB,558548
EBD,853168
EBC,359645
CAA,758445
ABA,730271
AAA,330075
ECB,740774
BBC,885958
ACC,821144
ADE,497096
DBA,32377
CBC,540623
BEA,3398
EEE,136345
BBE,423671
BED,841363
CAA,614406
EDD,102218
AAC,623142
AEC,651697
BCC,133691
DCA,909376
ADB,326758
DAC,245870
CBD,91249
AEA,733742
BED,746582
ACE,230464
AAB,609977
ABE,500417
DEC,324863
EEA,365926
CCB,594890
DAB,390357
EBE,123588
BCE,519193
BBD,10090
AAA,13283
AAC,111690
ADA,690205
AAC,153232
CED,614036
ABD,316795
BCA,882403
CBD,692191
EBC,737084
ABD,1685
BEC,53408
DDE,762311
CCD,848969
DCD,570097
DBA,524143
BCE,960538
EDB,773630
ADB,146180
ECA,257846
DAE,8465
AEB,868412
EEA,422424
CEC,666303
ACD,393769
DEB,474655
DDB,985903
DCB,789816
DCE,652924
EAC,754042
CCD,701247
CCC,411336
EAE,731500
DBD,788695
DCE,582924
ABE,212034
DBB,876873
AEA,273395
ABC,289660
CAA,62857
EBD,812197
ACD,786934
EBB,768085
ABD,505693
CDA,55026
DCE,147906
AED,470219
DDA,778082
EDD,899208
AAE,997700
CDB,751525
DBA,810063
ACC,735741
DDB,186297
CDB,488222
ECE,978214
CBA,388659
DCA,695685
EDC,715885
EDA,651988
CDD,372196
ACB,498605
BCA,156078
BAB,753689
EEB,450798
BAA,946394
AEA,917812
DEA,54403
BED,478916
ABD,105835
BAE,295654
DBE,281276
ADC,125294
BCB,998236
EED,465719
ADD,736048
BDE,794082
DCA,814513
ABE,756763
CEB,753220
DCD,571320
CBE,591632
EAC,122356
CAA,759641
EEA,290470
EDA,667517
AAA,407343
CED,382919
DCE,248544
DAC,576026
EAC,919248
CEE,222466
AEB,891209
DBA,926427
EDD,719601
BAB,698527
AED,265879
DDD,317366
DAE,20440
CED,258475
DCE,821781
EEA,344688
EAA,957367
BDE,141857
CCC,129303
DDB,897408
BEB,456530
DBB,213624
BAE,876097
BDD,29136
DBA,124974
CCD,84277
CBC,402880
BAC,494688
ACC,737999
EAC,757658
BDA,901783
ABA,274306
DEA,349146
ECA,339977
EBB,995354
DEB,777754
BCB,543480
DCD,123036
BEB,391707
ABD,20177
DEE,935024
ADE,485714
BDB,92600
BBD,318411
ACC,933538
DBD,828706
ECD,921415
BBC,898317
EEE,311731
BAD,497698
AEB,630184
ECC,812267
AAD,830067
DBA,937897
CCB,571610
ECA,547787
BDA,448165
DCC,755142
DBB,247319
DAC,615165
EAB,753425
DCB,527228
CED,351215
BEE,331471
CCA,790103
ADC,838240
ADA,196877
DBE,554814
ADE,614847
DCC,99847
DBA,531742
BCB,550447
CBD,473591
CDC,949069
EAD,417422
EAA,289324
DDB,764656
BEB,309050
AAE,358145
CEE,498608
CAC,522964
AEC,179520
BDB,146308
ACE,806638
ABE,266130
EED,213746
AAA,389232
ECB,535171
AEE,49051
BCA,259718
BAB,516892
EAA,323553
BDC,583450
BEE,849379
EDD,834948
DAE,54189
DBE,69709
BED,965317
AAA,310183
ADB,961901
EBC,694487
BDD,329504
DDC,824421
ECB,880107
BDC,568642
BDB,912940
DBE,921919
BBA,790393
DCD,51390
CCD,349086
DCD,25891
CDB,893133
CCE,58424
BAC,371303
DAB,302264
CAA,778344
DCC,706682
DCE,236792
EDB,916036
EEB,208649
BCC,865750
BBC,812460
AAE,7858
EAC,419478
CDE,143173
CAE,899321
ECE,645653
BCB,632744
CDA,76347
BCC,84276
CDE,664233
DED,980679
BCA,59664
DDD,39099
ADC,26976
EAE,821501
DEE,940736
EDB,65737
AEA,825806
ADD,466067
BAC,734114
DCC,13934
CDB,271291
DAB,586636
BDD,306419
DDD,742447
DED,510823
AEE,516014
DAA,799130
BBE,802893
CDB,589885
DAC,378550
EBE,700000
DAE,167017
DDA,715270
CAB,152035
AAA,979184
DCA,299529
BDE,571745
DAB,29282
ADD,341079
CDD,606964
ADC,780356
DBA,733832
CDE,888434
EEC,310168
EBC,114899
AAA,583485
CBE,304909
ABE,482882
CCA,640980
CDC,628003
AAD,314700
BEB,377976
ADB,926961
CAA,876400
DDA,620483
DEE,767751
BAA,627402
ADD,902631
EAD,946311
BCE,45853
ACE,790024
DCE,354557
ABC,916282
CBA,687339
BBE,606891
AAE,48500
CAA,333651
BDC,627869
ECB,157531
EEA,536583
ECD,945690
EDA,293969
AED,863031
EDB,865726
DDA,491006
ECA,317414
EBE,602400
EAC,863703
BDD,453952
AAC,852381
BED,974116
CEC,306547
CEE,350767
ECC,622099
BBA,832466
EAA,470461
BCB,581502
BDC,924090
EBE,197902
CDD,208418
CAC,542865
EBD,571140
ECC,359875
BEC,944170
BAC,732418
BEE,265594
AAC,413340
BAC,368265
DEC,23046
EED,749880
BAA,201945
DDA,855227
BBD,598304
CAA,801275
ABB,988961
CBB,388396
EDC,859977
BBC,318308
ACB,158090
CCD,644707
EAC,44414
DEC,533424
BEE,719896
CAA,144278
BBE,178861
DAE,821302
DEA,742038
ECD,608642
EAB,262435
DCC,868058
BBA,276561
EAD,291634
CDE,83824
AAB,905489
AAE,997595
BEB,35971
EEB,270466
BDD,569192
DCC,986124
ECC,590610
EDD,975332
AEE,879984
CBB,451675
EBD,272046
DAA,330719
DBE,127331
CEE,233893
BDD,838288
BBC,383800
CAD,425928
CED,595991
DDA,505376
AAC,710544
ACD,664169
DED,78550
DAA,363138
DBC,898302
EBD,44174
AEB,482173
BAB,763390
BEE,991224
DAD,595041
EEE,466348
BEC,335307
CED,633955
DBD,682984
DDD,317737
ECD,369664
EAE,255856
DCA,783852
DCE,189020
CBB,520826
BAB,230629
ADC,535085
BCC,935575
EDE,843272
DBB,311074
ACD,108984
EBE,260474
BEC,775259
CDD,224612
DAB,689779
BCB,913882
EAD,560243
EDE,786045
CEA,369229
DED,809735
ADA,201391
EEB,873718
BDC,352222
AEE,252735
AAA,747334
AEE,127093
DDB,950536
ABB,253290
CCD,697739
AAC,472999
EBD,786302
CBD,12695
EAA,625617
CCB,975469
CDB,965245
DCB,230687
DAB,413663
AAB,1921
CAA,517918
BEE,488051
BCB,442367
CDE,224435
ACB,223099
BDE,463568
DAC,970291
DDE,33393
BAC,336024
DDB,455291
EEC,456215
DAE,966525
DEB,295072
ABA,879416
AAD,357864
DBD,171769
DBD,864400
EED,635797
ECE,554345
ACE,689177
DEE,204295
BAC,180436
CAA,295637
ADB,133077
EEA,879655
EEB,253760
CDE,804364
BCA,121614
ACE,225383
BDB,909837
ADD,969895
ADC,373506
ACA,459143
DDC,365644
DDC,742755
CCD,510978
BCB,677604
EBB,524655
BEC,233686
CCD,810374
CDA,43721
ECA,405563
ADA,965995
CBE,813080
DBC,941085
ADD,578989
AEC,508539
DDE,172567
AEC,987477
DDD,140506
ADC,865742
ABC,430167
DBB,507403
DCC,956017
BBE,541209
BEB,341404
CDA,768297
DAD,659456
BBB,516263
DAB,713376
EEE,564166
CCB,50417
CCC,238207
EEB,852856
DDD,211778
DDB,277427
ACD,307833
EAB,121715
CAC,167753
BDE,63343
CAD,722409
EED,555530
BEC,405839
CAD,217011
EBC,921687
CDA,488210
DDB,667581
DBB,552528
BAE,302214
BDD,971553
ABA,645969
EDA,930487
AEA,728768
DED,32393
BCC,343007
EEA,827457
ABE,604066
EDE,393526
BBC,945222
BBE,108952
EEB,268452
CDA,215692
CEA,671083
BEC,350135
BCC,302223
CAB,121539
BCA,972219
DCC,138079
AEE,156528
DAD,93993
ADA,594092
DED,184230
CAC,19817
DAE,806030
EDA,614471
EDB,978932
CCE,973927
DAD,693226
ADB,997006
AAB,887910
EAE,840318
CEC,121362
BEB,162407
CBA,589520
CCC,70958
DAC,613368
DAD,150926
DED,272352
EBE,4351
CDC,554538
CBB,523333
DBE,582043
AEC,75758
ADE,376673
DCE,227608
BBA,848182
DDE,520047
CEE,692612
EAC,903249
DBB,494955
CAA,340756
BAC,304589
DEE,750707
DBD,675761
DAB,589532
CBA,567188
EED,203636
DBA,446717
CEA,968861
DBD,62682
DCB,590419
ADA,48564
BCA,528197
BCC,819331
CCA,752629
BDA,38194
CDE,942848
AEB,138676
ADD,286912
DCB,233379
DAD,733459
AAC,221579
EAD,815781
ACE,327756
BEB,362620
DAD,951002
CAB,704912
EAE,131093
BBE,308179
DDA,980247
ACC,458791
CBD,547886
BEE,698316
DCB,652808
BEA,197400
EBE,965640
ECB,958594
EED,486641
DBA,992150
AAC,447306
CCB,808192
DBE,555618
DAE,266743
BEC,993331
DBD,709200
EEE,329962
DDA,268773
DCE,523470
ADC,368324
EEB,201396
DED,956994
CBC,215224
ACA,852504
BCD,730241
ACD,379996
CDE,724313
DAD,433052
BDB,59512
ECC,867737
DDC,593936
AEB,613923
CBD,856036
EBE,793808
BCD,851403
BDB,931947
DBA,809003
DBD,290217
CDA,136529
DEE,294799
BBC,746075
EAB,439219
BAD,854743
CBA,553641
EBB,786327
DEC,252446
AAD,785540
DEC,185583
EDE,764422
CBE,149220
EEA,391930
BAD,17150
ECC,247992
DEB,422304
BDA,21724
EEE,643075
BCC,247273
CDC,660694
AEE,285017
CCC,796312
DDD,10984
CCC,700333
DBC,916609
DDB,816448
AEB,521080
CBB,431511
CDC,302207
EEA,248323
DCB,508326
CEB,162757
EEC,728994
BDC,160577
EAB,378489
DCD,207100
CBE,180228
DDB,675648
ADE,111696
BDD,26784
ABE,890310
DBA,578554
DAC,286868
EDD,800459
AAB,233339
ECB,80626
CCA,642919
ACB,429026
BBA,226697
EDB,480384
EBC,907345
BCA,466960
DAE,827325
EAB,3389
BEA,468124
BEB,241011
CDC,911290
BBA,596114
ABC,784755
AAA,192030
BCB,837487
EAE,347430
AEB,559231
BEC,622494
CCC,165405
DDD,115336
DCB,865343
