year,month,domestic,international,total,airport_id
2018,1,30059.0,3400.0,33459.0,KATL
2018,2,28195.0,2998.0,31193.0,KATL
2018,3,33656.0,3486.0,37142.0,KATL
2018,4,32840.0,3306.0,36146.0,KATL
2018,5,34014.0,3507.0,37521.0,KATL
2018,6,33920.0,3566.0,37486.0,KATL
2018,7,34826.0,3727.0,38553.0,KATL
2018,8,35188.0,3530.0,38718.0,KATL
2018,9,31520.0,2984.0,34504.0,KATL
2018,10,33284.0,3002.0,36286.0,KATL
2018,11,31385.0,2836.0,34221.0,KATL
2018,12,31485.0,3167.0,34652.0,KATL
2019,1,31046.0,3230.0,34276.0,KATL
2019,2,28229.0,2900.0,31129.0,KATL
2019,3,34055.0,3468.0,37523.0,KATL
2019,4,32963.0,3275.0,36238.0,KATL
2019,5,34490.0,3464.0,37954.0,KATL
2019,6,34239.0,3501.0,37740.0,KATL
2019,7,35324.0,3588.0,38912.0,KATL
2019,8,35535.0,3488.0,39023.0,KATL
2019,9,31953.0,2912.0,34865.0,KATL
2019,10,33840.0,2888.0,36728.0,KATL
2019,11,31386.0,2709.0,34095.0,KATL
2019,12,32500.0,2996.0,35496.0,KATL
2020,1,32327.0,3048.0,35375.0,KATL
2020,2,30090.0,2807.0,32897.0,KATL
2020,3,27416.0,2205.0,29621.0,KATL
2020,4,9052.0,145.0,9197.0,KATL
2020,5,8253.0,126.0,8379.0,KATL
2020,6,10912.0,214.0,11126.0,KATL
2020,7,18349.0,585.0,18934.0,KATL
2020,8,21940.0,704.0,22644.0,KATL
2020,9,20211.0,750.0,20961.0,KATL
2020,10,21459.0,909.0,22368.0,KATL
2020,11,22200.0,1136.0,23336.0,KATL
2020,12,23105.0,1549.0,24654.0,KATL
2021,1,22364.0,1750.0,24114.0,KATL
2021,2,19819.0,1539.0,21358.0,KATL
2021,3,25974.0,1619.0,27593.0,KATL
2021,4,25778.0,1571.0,27349.0,KATL
2021,5,27272.0,1719.0,28991.0,KATL
2021,6,27561.0,1852.0,29413.0,KATL
2021,7,28660.0,1969.0,30629.0,KATL
2021,8,27894.0,2108.0,30002.0,KATL
2021,9,26643.0,1985.0,28628.0,KATL
2021,10,27927.0,2063.0,29990.0,KATL
2021,11,26673.0,2023.0,28696.0,KATL
2021,12,25978.0,2201.0,28179.0,KATL
2022,1,24613.0,2261.0,26874.0,KATL
2022,2,22744.0,2036.0,24780.0,KATL
2022,3,26512.0,2300.0,28812.0,KATL
2022,4,25958.0,2312.0,28270.0,KATL
2022,5,27438.0,2497.0,29935.0,KATL
2022,6,26282.0,2651.0,28933.0,KATL
2022,7,27377.0,2665.0,30042.0,KATL
2022,8,27304.0,2669.0,29973.0,KATL
2022,9,26283.0,2478.0,28761.0,KATL
2022,10,27142.0,2473.0,29615.0,KATL
2022,11,26445.0,2360.0,28805.0,KATL
2022,12,26070.0,2564.0,28634.0,KATL
2018,1,18949.0,832.0,19781.0,KCLT
2018,2,17910.0,827.0,18737.0,KCLT
2018,3,20246.0,1100.0,21346.0,KCLT
2018,4,20096.0,1110.0,21206.0,KCLT
2018,5,20857.0,1148.0,22005.0,KCLT
2018,6,19393.0,1215.0,20608.0,KCLT
2018,7,20797.0,1253.0,22050.0,KCLT
2018,8,21312.0,1104.0,22416.0,KCLT
2018,9,19858.0,770.0,20628.0,KCLT
2018,10,21341.0,839.0,22180.0,KCLT
2018,11,20441.0,773.0,21214.0,KCLT
2018,12,19466.0,973.0,20439.0,KCLT
2019,1,20527.0,982.0,21509.0,KCLT
2019,2,18718.0,930.0,19648.0,KCLT
2019,3,21450.0,1170.0,22620.0,KCLT
2019,4,20662.0,1159.0,21821.0,KCLT
